ric,data_load,capitalization,current_price,ticker
AMPX.K,2026-03-24,2.559515,18.68,AMPX.K
AMPX.N,2026-03-24,2.559515,18.68,AMPX.N
AMR.N,2026-03-24,2.566596,200.63,AMR.N
AMRC.K,2026-03-24,1.465836,27.72,AMRC.K
AMRC.N,2026-03-24,1.465836,27.72,AMRC.N
AMRX.O,2026-03-24,3.750379,11.92,AMRX.O
AMRZ.K,2026-03-24,30.583654,55.26,AMRZ.K
AMRZ.N,2026-03-24,30.583654,55.26,AMRZ.N
AMSC.O,2026-03-24,1.466458,30.8,AMSC.O
AMSSY.PK,2026-03-24,1.021049,5.4,AMSSY.PK
AMT.N,2026-03-24,82.263971,176.5,AMT.N
AMTM.K,2026-03-24,6.522827,26.74,AMTM.K
AMTM.N,2026-03-24,6.522827,26.74,AMTM.N
AMVOY.PK,2026-03-24,4.089499,8.01,AMVOY.PK
AMX.N,2026-03-24,71.403799,23.69,AMX.N
AMZN.O,2026-03-24,2255.836272,210.14,AMZN.O
AN.N,2026-03-24,6.500904,189.39,AN.N
ANAB.O,2026-03-24,1.803091,62.72,ANAB.O
ANCTF.PK,2026-03-24,52.82198,57.67,ANCTF.PK
ANDE.O,2026-03-24,2.303376,67.64,ANDE.O
ANDG.K,2026-03-24,3.082783,27.57,ANDG.K
ANDG.N,2026-03-24,3.082783,27.57,ANDG.N
ANET.K,2026-03-24,170.738371,135.88,ANET.K
ANET.N,2026-03-24,170.738371,135.88,ANET.N
ANF.N,2026-03-24,4.012995,87.51,ANF.N
ANFGF.PK,2026-03-24,44.652209,45.3,ANFGF.PK
ANGPY.PK,2026-03-24,20.673832,13.04,ANGPY.PK
ANIOY.PK,2026-03-24,3.493522,7.02,ANIOY.PK
ANIP.O,2026-03-24,1.657654,73.92,ANIP.O
ANJFY.PK,2026-03-24,3.905372,0.0,ANJFY.PK
ANPA.O,2026-03-24,0.106875,8.55,ANPA.O
ANPDF.PK,2026-03-24,27.329964,9.57,ANPDF.PK
ANPDY.PK,2026-03-24,27.329964,245.48,ANPDY.PK
ANSLY.PK,2026-03-24,2.816668,84.18,ANSLY.PK
ANYYY.PK,2026-03-24,43.49265,14.65,ANYYY.PK
ANZGY.PK,2026-03-24,76.995212,26.04,ANZGY.PK
ANZLY.PK,2026-03-24,0.814375,1.03,ANZLY.PK
AOD.N,2026-03-24,1.017409,9.65,AOD.N
AOMFF.PK,2026-03-24,12.808328,28.1,AOMFF.PK
AON.N,2026-03-24,69.840538,325.97,AON.N
AONNY.PK,2026-03-24,33.759711,12.1,AONNY.PK
AOREF.PK,2026-03-24,5.759625,1226.0,AOREF.PK
AORT.K,2026-03-24,1.710413,35.72,AORT.K
AORT.N,2026-03-24,1.710413,35.72,AORT.N
AOS.N,2026-03-24,8.995265,65.07,AOS.N
AOZOY.PK,2026-03-24,2.258354,3.92,AOZOY.PK
APA.O,2026-03-24,13.787405,39.03,APA.O
APAJF.PK,2026-03-24,8.850119,6.4,APAJF.PK
APAM.K,2026-03-24,2.895461,35.93,APAM.K
APAM.N,2026-03-24,2.895461,35.93,APAM.N
APD.N,2026-03-24,62.045323,278.66,APD.N
APELY.PK,2026-03-24,2.818195,27.35,APELY.PK
APEMY.PK,2026-03-24,2.897577,40.01,APEMY.PK
APG.N,2026-03-24,17.888169,41.46,APG.N
APGE.O,2026-03-24,5.506011,79.24,APGE.O
APH.N,2026-03-24,160.621515,130.67,APH.N
APLD.O,2026-03-24,7.62151,27.26,APLD.O
APLE.K,2026-03-24,2.801983,11.89,APLE.K
APLE.N,2026-03-24,2.801983,11.89,APLE.N
APLS.O,2026-03-24,2.245972,17.57,APLS.O
APMSF.PK,2026-03-24,2.897577,44.7,APMSF.PK
APNHY.PK,2026-03-24,3.370106,7.5,APNHY.PK
APO.N,2026-03-24,63.867418,110.45,APO.N
APOS.N,2026-03-24,63.867418,25.52,APOS.N
APP.O,2026-03-24,154.793738,458.95,APP.O
APPF.O,2026-03-24,6.009238,166.97,APPF.O
APPN.O,2026-03-24,1.921474,25.98,APPN.O
APTV.K,2026-03-24,15.128771,70.98,APTV.K
APTV.N,2026-03-24,15.128771,70.98,APTV.N
AQN.N,2026-03-24,4.814092,6.26,AQN.N
AQNB.N,2026-03-24,4.814092,25.61,AQNB.N
