ric,current_price,capitalization
BIPC.N,39.39,4.845628
BIREF.PK,4.52,1.238739
BIREY.PK,0.0,1.238739
BIRK.K,44.63,8.207727
BIRK.N,44.63,8.207727
BITF.O,4.36,2.637059
BITW.K,39.94,0.0
BJ.N,90.12,11.507782
BJCHY.PK,0.98,0.911454
BJGPY.PK,13.0,1.680108
BJWTY.PK,23.02,2.960313
BK.N,151.27,103.828558
BKAYY.PK,22.75,10.342312
BKD.N,14.4,3.438573
BKE.N,42.55,2.192095
BKEAY.PK,1.6,4.442041
BKFKY.PK,10.57,2.552413
BKGFY.PK,9.01,4.142335
BKH.N,75.8,5.770511
BKHPY.PK,0.0,30.690537
BKHYY.PK,116.17,30.690537
BKKLY.PK,29.85,11.33824
BKNG.O,175.8,136.223629
BKNIY.PK,17.26,15.793429
BKPOY.PK,0.0,16.869805
BKPTY.PK,0.0,0.560287
BKQNY.PK,8.45,2.923825
BKR.O,57.66,57.202681
BKRIF.PK,20.52,19.032518
BKRIY.PK,19.88,19.032518
BKRKY.PK,7.93,23.863929
BKSY.N,26.07,0.967432
BKU.N,47.93,3.483635
BKV.N,25.79,2.821079
BKZHY.PK,34.98,18.551407
BL.O,30.09,1.765107
BLBD.O,76.56,2.629742
BLCO.K,16.21,5.787894
BLCO.N,16.21,5.787894
BLD.N,354.53,9.93555
BLDR.K,73.51,7.906726
BLDR.N,73.51,7.906726
BLFBY.PK,23.84,5.460605
BLFS.O,28.1,1.372893
BLJZY.PK,6.4,1.783922
BLK.N,1031.56,167.980175
BLKB.O,31.03,1.425273
BLLN.O,123.25,5.668943
BLMOY.PK,10.3,12.293959
BLRDY.PK,20.7,1.603159
BLSFY.PK,111.72,9.742835
BLSH.K,22.87,3.437411
BLSH.N,22.87,3.437411
BLTE.O,147.03,5.893711
BLUMY.PK,1.78,2.115535
BLWYY.PK,31.39,2.889926
BLX.N,57.6,1.77915
BMA.N,90.68,6.032534
BMBOY.PK,12.82,13.701319
BMI.N,140.12,4.089482
BML_pg.N,18.93,422.247144
BML_ph.N,18.68,422.247144
BML_pj.N,19.78,422.247144
BML_pl.N,19.24,422.247144
BMNEP.PK,86.1,7.854757
BMNP.N,86.1,7.854757
BMNR.N,14.61,7.854757
BMNR.PK,14.61,7.854757
BMO.N,178.69,125.202007
BMPSY.PK,12.84,39.574097
BMRN.O,59.2,11.442439
BMRRY.PK,10.62,2.729537
BMUSY.PK,0.0,7.742977
BMWKY.PK,21.82,40.707769
BMXVY.PK,0.0,1.138193
BMXXY.PK,7.6,9.570861
BMY.N,59.34,121.176508
BMYMP.PK,700.0,121.176508
BN.N,43.36,106.287581
BNCDY.PK,50.75,19.177584
BNCPY.PK,0.0,1.474004
BNCZF.PK,17.1,27.063308
BNDSY.PK,7.08,17.858187
BNL.N,21.94,4.207358
BNMDF.PK,21.65,19.177584
BNNCY.PK,67.79,27.063308
BNPJY.PK,2.5,1.705218
BNPQF.PK,115.05,126.882906
BNPQY.PK,57.12,126.882906
BNPZY.PK,0.0,126.882906
BNS.N,88.0,108.292036
BNT.N,43.48,2.844432
BNTGY.PK,13.19,9.573546
BNTX.O,90.07,22.777285
BNY.N,151.27,103.828558
BOBS.N,15.7,2.050852
BOH.N,82.38,3.263979
BOKF.O,138.06,8.388524
BOLSY.PK,8.7,14.935325
BOMXF.PK,2.08,1.138193
BOND.N,90.92,8.278266
BOOT.K,164.32,4.986697
BOOT.N,164.32,4.986697
BORAY.PK,2.59,1.679341
BORR.K,4.46,1.372347
BORR.N,4.46,1.372347
BOSSY.PK,8.5,2.990052
BOUYY.PK,10.54,20.744984
BOW.N,31.57,1.036697
BOX.N,29.41,4.074245
BP.N,40.83,105.867299
BPCGY.PK,12.4,17.530217
BPHLY.PK,33.12,8.781641
BPIRY.PK,8.0,13.118574
BPOP.O,168.71,10.888157
BPOPO.PK,25.32,10.888157
BPRE.N,13.09,1.872451
BPXXY.PK,32.05,33.438381
BQACY.PK,0.0,0.865151
BQMCY.PK,0.0,4.574695
BQMGY.PK,0.0,4.574695
BR.N,151.04,17.469029
BRBR.K,12.75,1.482543
BRBR.N,12.75,1.482543
BRC.N,90.4,4.258996
BRDCY.PK,10.98,29.528843
BREJY.PK,4.42,16.146307
BRELY.PK,14.25,0.76325
BRFNL.PK,25.0,3.926759
BRGAY.PK,35.15,1.537643
BRKa.N,744850.01,1071.418082
BRKb.N,496.85,1071.418082
BRKR.O,58.97,8.976745
BRO.N,69.21,23.45858
BROS.K,66.46,11.607123
BROS.N,66.46,11.607123
BRRAY.PK,15.5,2.1e-05
BRRLY.PK,13.72,7.652082
BRSL.K,10.82,1.987504
BRSL.N,10.82,1.987504
BRTHY.PK,45.41,5.695462
BRX.N,31.37,9.625465
BRZE.O,26.6,2.996002
BSAC.K,33.56,15.951687
BSAC.N,33.56,15.951687
BSBR.K,5.35,20.031238
BSBR.N,5.35,20.031238
BSDGY.PK,30.36,7.022641
BSM.N,14.31,3.040865
BSMLP.PK,0.0,3.040865
BSPDY.PK,22.0,0.651156
BST.N,46.85,1.626633
BSTZ.K,29.07,1.998392
BSTZ.N,29.07,1.998392
BSX.N,44.65,66.365759
BSY.O,31.75,9.645544
BTDPY.PK,7.53,5.388789
BTDR.O,12.13,2.951395
BTE.N,4.21,3.005853
BTG.N,3.78,4.993802
BTGO.N,5.09,0.590233
BTGUY.PK,0.0,26.342447
BTI.N,58.95,127.135533
BTLCY.PK,5.58,5.803419
BTSG.O,69.64,13.738919
BTSGU.O,230.05,13.738919
BTSGY.PK,3.08,1.084214
BTSNY.PK,9.55,1.176217
